name,industry,type,founded,num_employees,revenue,stock price,student_careers_url
"[24]7.ai, Inc.",Software and Services,Private,-1,15000,-1,-1.0,https://www.247.ai/company/careers
280 North,web software,,2008,-1,-1,-1.0,https://angel.co/company/280-north
2d3 Sensing,software,,1999,-1,-1,-1.0,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/
33Across,,,2008,-1,-1,-1.0,https://www.33across.com/careers/
3D Systems Corporation,Technology,Public,-1,2666,646840000,6.539999961853027,https://www.3dsystems.com/careers
3ality Technica,Entertainment technology,Private,-1,-1,-1,-1.0,http://3alitytechnica.com/
4D Inc,,Private,1984,-1,-1,-1.0,https://us.4d.com/careers
4INFO Inc.,"Big data,Big Data,Software,Computer Software,Digital Marketing",Private,2004,45,-1,-1.0,https://www.4info.com/About/Careers.aspx
"A10 Networks, Inc.",Computer network,Public,-1,800,-1,7.510000228881836,https://www.a10networks.com/company/careers/
ACI Worldwide Inc.,Computer Software,Public,-1,0,1050000000,32.7400016784668,https://careers.aciworldwide.com/
ADARA networks,Software,private,1998,-1,-1,-1.0,https://adara.com/careers/
APC by Schneider Electric,Electrical equipment,A ,-1,12000,-1,-1.0,https://www.apc.com/us/en/who-we-are/careers.jsp
ARCOS LLC,Software,Private,-1,0,-1,-1.0,https://www.arcos-inc.com/careers/
ASG Technologies,,Private,1986,-1,-1,-1.0,https://www.asg.com/en/Aboutus/career.aspx
AT&T Inc.,"Telecommunications industry,Telecommunications,Technology company,Technology,Mass media,Entertainment",Public,1893,243350,181200000000,27.510000228881836,https://www.att.jobs/students
AT&T Cybersecurity,"Computer Security,Computer Software",Subsidiary,-1,400,-1,-1.0,https://www.att.jobs/category/cybersecurity-jobs/117/47406/1
AWS Elemental,Video software,Subsidiary,-1,209,49200000,-1.0,https://www.amazon.jobs/en/team/elemental
AbacusNext,Software,Private,-1,500,77500000,-1.0,https://www.abacusnext.com/careers/
Abbott Informatics,"Software,Information Technology",Subsidiary,-1,-1,-1,-1.0,https://www.abbott.com/careers/students.html
Accent R,software,,1980,-1,-1,-1.0,https://www.speechpathologygraduateprograms.org/do-you-speak-with-an-accent-you-can-still-be-an-outstanding-slp/
"Accordent Technologies, Inc",Software,Private,-1,-1,-1,-1.0,https://www.accenture.com/us-en/careers
AccuSystems,"Document imaging,Electronic document management,Document management system",,-1,-1,-1,-1.0,https://www.accusystem.com/careers/
AccuWeather Inc.,Meteorology,Private,-1,500,-1,-1.0,https://boards.greenhouse.io/accuweather
Accusoft Corporation,Computer software,Private,-1,-1,-1,-1.0,https://www.accusoft.com/resources/blog/annual-internship-programs-provide-benefits-to-students-and-employees/
Acorns,Financial services,Private,-1,-1,-1,-1.0,https://www.acorns.com/careers/
Acrocat Software,,Private,-1,-1,-1,-1.0,https://www.adobe.com/careers.html
Actian,"Database management system,Software,Big data analytics",Private,-1,-1,-1,-1.0,https://www.actian.com/company/careers/student-opportunities/
Actifio,Information Technology,Private,-1,-1,-1,-1.0,https://www.actifio.com/company/careers/
Activant Solutions Inc.,Retail and Wholesale Distribution,Subsidiary of ,-1,1700,-1,-1.0,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/
"Active Network, LLC",Software as a service,Subsidiary,-1,1000,-1,-1.0,https://www.activenetwork.com/careers
Actuate Corporation,"Computer Software,Business Intelligence,Enterprise Reporting,Business Analytics",Subsidiary,-1,570,134600000,-1.0,https://www.indeed.com/cmp/Actuate-Corporation
Acumatica,Computer software,Privately held company,2008,300,-1,-1.0,https://www.acumatica.com/careers/
Acxiom,Database marketing,Division,-1,2100,-1,-1.0,https://www.acxiom.com/about-us/careers/
AdMob,Mobile advertising,Subsidiary of ,2006,-1,-1,-1.0,
"Adallom, Inc.",,Private,-1,-1,-1,-1.0,https://careers.microsoft.com/students/us/en
Workday Adaptive Planning,"Software,Corporate Performance Management,Analytics",public,-1,0,-1,-1.0,http://www.stanfordwomeninbusiness.com/opportunities-blog/2018/2/11/adaptive-insights-internship-opportunities
Addamax,software,,1986,-1,-1,-1.0,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/
"Addepar, Inc.",Financial technology,Private,-1,200,-1,-1.0,https://www.addepar.com/careers
Adeptia,Computer software,Private,-1,-1,-1,-1.0,https://adeptia.com/careers
Aditi Technologies,"IT Services,IT Consulting",Private,1994,1600,-1,-1.0,https://www.aditiconsulting.com/job-seekers/
Adobe Inc.,Software,Public,1982,22635,11170000000,496.4700012207031,https://www.adobe.com/careers.html
Advanced Digital Information Corporation,"Magnetic tape data storage,Software",Subsidiary of ,-1,1109,-1,-1.0,https://www.vault.com/company-profiles/computer-hardware/advanced-digital-information-corporation
"Advent Online Knowledge, Inc.",software,,-1,-1,-1,-1.0,https://www.adventhealth.com/careers
Aelita Software Corporation,Software,,1998,-1,-1,-1.0,https://www.mckinsey.com/careers/students
Aestiva Software,computer technology,,1996,-1,-1,-1.0,http://www.aestiva.com/
Afiniti,Software development,Private,2005,1000,-1,-1.0,https://careers.afiniti.com/
"Agiloft, Inc.",Business process management,Private,1990,-1,-1,-1.0,https://www.agiloft.com/jobs.htm
Agilysys Inc.,Hospitality Software,,-1,-1,-1,-1.0,https://www.agilysys.com/en/company/careers
Aha!,Software,Private,-1,-1,-1,-1.0,https://www.historians.org/jobs-and-professional-development/career-resources/careers-for-students-of-history
AiLive Inc.,Computer Software,Private,-1,-1,-1,-1.0,https://www.silive.com/jobs/
Air2Web,software,,1999,-1,-1,-1.0,https://www.mckinsey.com/careers/students
Airbiquity,Automotive telematics: connected vehicle services,Privately held company,1997,-1,-1,-1.0,https://www.airbiquity.com/company/working-here
Airclic,Web-based software,Private,-1,-1,-1,-1.0,https://www.lockheedmartinjobs.com/college-students
Urban Airship,,Private Corporation,-1,-1,-1,-1.0,https://www.airship.com/company/careers/
"Formagrid, Inc.",Internet,,-1,-1,-1,-1.0,https://airtable.com/careers
AlchemyAPI,"natural language processing,computer vision,big data",Subsidiary,-1,-1,-1,-1.0,https://www.mckinsey.com/careers/students
Rocket Aldon,Computer software,Subsidiary,-1,-1,-1,-1.0,https://www.aldonmanagement.com/page/16742~984952/Careers
Alfresco Software Inc.,,,-1,-1,-1,-1.0,https://www.alfresco.com/company/careers
Alien Technology,Electronics manufacturing,Private,-1,235,-1,-1.0,https://www.alientechnology.com/company/careers-2/
"Alinean, Inc.",Sales & Marketing Software,privately-held,2001,-1,-1,-1.0,https://www.mckinsey.com/careers/students
"Allegiance Software, Inc",,Private,-1,-1,-1,-1.0,"https://www.glassdoor.com/Overview/Working-at-Allegiance-Career-Institute-EI_IE3050701.11,38.htm"
Allegro Development Corp.,Computer software,Private,-1,400,-1,-1.0,https://www.allegrodev.com/campus-recruiting/
"AllscriptsHealthcare Solutions, Inc.",Information Technology,Public,-1,7500,1811000000,11.130000114440918,https://www.allscripts.com/about-us/careers/
Alphaeon Corporation,Technology,Private,2013,-1,-1,-1.0,https://goalphaeon.com/careers
"Altair Engineering, Inc.","Computer-aided engineering,Software,Product Design,Product Design and Development,Service,Services,Data Analytics,Internet of things,Grid Computing",Public,-1,3300,458900000,47.58000183105469,https://www.altair.com/careers/
Altametrics,Enterprise Software,Private,-1,400,90000000,-1.0,https://www.internships.com/posting/bug_38787457443
"Alteryx, Inc.","Software,Computer software",Public,-1,0,418000000,110.33999633789062,https://www.alteryx.com/careers
Altium Ltd.,"Electronic design automation,Printed circuit board,FPGA,Embedded Systems,Electronics Design",Public,-1,-1,171800000,1.190000057220459,https://www.altium.com/careers
"Altoros Systems, Inc.","Software Product Line,Software Product Development,Big Data,Information technology consulting,IT Consulting",Privately held companies,-1,250,-1,-1.0,https://www.altoros.com/careers
AltspaceVR,Virtual reality,Subsidiary,2013,-1,-1,-1.0,https://angel.co/altspacevr-formerly-qualia3d/jobs
