,name,industry,type,founded,num_employees,revenue,operating_income,net_income,student_careers_url,website,page_rank
3,33Across,,,2008,-1,-1.0,-1.0,-1.0,https://www.33across.com/careers/,https://www.33across.com/,5.68
17,AbacusNext,Software,Private,-1,500,77500000.0,-1.0,-1.0,https://www.abacusnext.com/careers/,https://www.abacusnext.com/,5.62
24,Acorns,Financial services,Private,-1,-1,-1.0,-1.0,-1.0,https://www.acorns.com/careers/,https://www.acorns.com/,6.16
26,Actian,"Database management system,Software,Big data analytics",Private,-1,-1,-1.0,-1.0,-1.0,https://www.actian.com/company/careers/student-opportunities/,https://www.actian.com/,5.48
27,Actifio,Information Technology,Private,-1,-1,-1.0,-1.0,-1.0,https://www.actifio.com/company/careers/,https://www.actifio.com/,5.46
31,Acumatica,Computer software,Privately held company,2008,300,-1.0,-1.0,-1.0,https://www.acumatica.com/careers/,https://www.acumatica.com/,5.69
32,Acxiom,Database marketing,Division,-1,2100,-1.0,-1.0,-1.0,https://www.acxiom.com/about-us/careers/,https://www.acxiom.com/,5.78
38,Adeptia,Computer software,Private,-1,-1,-1.0,-1.0,-1.0,https://adeptia.com/careers,https://adeptia.com/,5.04
45,Afiniti,Software development,Private,2005,1000,-1.0,-1.0,-1.0,https://careers.afiniti.com/,https://afiniti.com/,5.13
48,Aha!,Software,Private,-1,-1,-1.0,-1.0,-1.0,https://www.historians.org/jobs-and-professional-development/career-resources/careers-for-students-of-history,https://www.aha.io/,5.92
51,Airbiquity,Automotive telematics: connected vehicle services,Privately held company,1997,-1,-1.0,-1.0,-1.0,https://www.airbiquity.com/company/working-here,https://www.airbiquity.com/,5.49
65,Altametrics,Enterprise Software,Private,-1,400,90000000.0,-1.0,-1.0,https://www.internships.com/posting/bug_38787457443,https://altametrics.com/,5.06
73,amdocs,,,-1,25000,4099999999.0,-1.0,479000000.0,https://www.amdocs.com/careers/home,https://www.amdocs.com/,5.71
76,Amwell,Healthcare,Public,-1,700,-1.0,-1.0,-1.0,https://business.amwell.com/careers/,https://business.amwell.com/,5.38
81,Animoto,Photo Slideshow Software,Private,-1,100,-1.0,-1.0,-1.0,https://animoto.com/careers,https://animoto.com/,7.3
