name,industry,type,founded,num_employees,revenue,operating_income,net_income,stock price,student_careers_url,pagerank
"[24]7.ai, Inc.",Software and Services,Private,-1,15000,-1,-1,-1,-1.00,https://www.247.ai/company/careers,5.68
280 North,web software,,2008,-1,-1,-1,-1,-1.00,https://angel.co/company/280-north,-1.0
2d3 Sensing,software,,1999,-1,-1,-1,-1,-1.00,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/,-1.0
33Across,,,2008,-1,-1,-1,-1,-1.00,https://www.33across.com/careers/,5.68
3D Systems Corporation,Technology,Public,-1,2666,646840000,65319999,66190000,6.54,https://www.3dsystems.com/careers,5.85
3ality Technica,Entertainment technology,Private,-1,-1,-1,-1,-1,-1.00,http://3alitytechnica.com/,-1.0
4D Inc,,Private,1984,-1,-1,-1,-1,-1.00,https://us.4d.com/careers,5.73
4INFO Inc.,"Big data,Big Data,Software,Computer Software,Digital Marketing",Private,2004,45,-1,-1,-1,-1.00,https://www.4info.com/About/Careers.aspx,5.28
"A10 Networks, Inc.",Computer network,Public,-1,800,-1,-1,-1,7.51,https://www.a10networks.com/company/careers/,-1.0
ACI Worldwide Inc.,Computer Software,Public,-1,0,1050000000,165800000,87500000,32.74,https://careers.aciworldwide.com/,-1.0
ADARA networks,Software,private,1998,-1,-1,-1,-1,-1.00,https://adara.com/careers/,4.57
APC by Schneider Electric,Electrical equipment,A ,-1,12000,-1,-1,-1,-1.00,https://www.apc.com/us/en/who-we-are/careers.jsp,-1.0
ARCOS LLC,Software,Private,-1,0,-1,-1,-1,-1.00,https://www.arcos-inc.com/careers/,-1.0
ASG Technologies,,Private,1986,-1,-1,-1,-1,-1.00,https://www.asg.com/en/Aboutus/career.aspx,-1.0
AT&T Inc.,"Telecommunications industry,Telecommunications,Technology company,Technology,Mass media,Entertainment",Public,1893,243350,181200000000,27950000000,13900000000,27.51,https://www.att.jobs/students,6.65
AT&T Cybersecurity,"Computer Security,Computer Software",Subsidiary,-1,400,-1,-1,-1,-1.00,https://www.att.jobs/category/cybersecurity-jobs/117/47406/1,-1.0
AWS Elemental,Video software,Subsidiary,-1,209,49200000,-1,-1,-1.00,https://www.amazon.jobs/en/team/elemental,-1.0
AbacusNext,Software,Private,-1,500,77500000,-1,-1,-1.00,https://www.abacusnext.com/careers/,-1.0
Abbott Informatics,"Software,Information Technology",Subsidiary,-1,-1,-1,-1,-1,-1.00,https://www.abbott.com/careers/students.html,-1.0
Accent R,software,,1980,-1,-1,-1,-1,-1.00,https://www.speechpathologygraduateprograms.org/do-you-speak-with-an-accent-you-can-still-be-an-outstanding-slp/,-1.0
"Accordent Technologies, Inc",Software,Private,-1,-1,-1,-1,-1,-1.00,https://www.accenture.com/us-en/careers,-1.0
AccuSystems,"Document imaging,Electronic document management,Document management system",,-1,-1,-1,-1,-1,-1.00,https://www.accusystem.com/careers/,-1.0
AccuWeather Inc.,Meteorology,Private,-1,500,-1,-1,-1,-1.00,https://boards.greenhouse.io/accuweather,-1.0
Accusoft Corporation,Computer software,Private,-1,-1,-1,-1,-1,-1.00,https://www.accusoft.com/resources/blog/annual-internship-programs-provide-benefits-to-students-and-employees/,-1.0
Acorns,Financial services,Private,-1,-1,-1,-1,-1,-1.00,https://www.acorns.com/careers/,-1.0
Acrocat Software,,Private,-1,-1,-1,-1,-1,-1.00,https://www.adobe.com/careers.html,-1.0
Actian,"Database management system,Software,Big data analytics",Private,-1,-1,-1,-1,-1,-1.00,https://www.actian.com/company/careers/student-opportunities/,-1.0
Actifio,Information Technology,Private,-1,-1,-1,-1,-1,-1.00,https://www.actifio.com/company/careers/,-1.0
Activant Solutions Inc.,Retail and Wholesale Distribution,Subsidiary of ,-1,1700,-1,-1,-1,-1.00,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/,-1.0
"Active Network, LLC",Software as a service,Subsidiary,-1,1000,-1,-1,-1,-1.00,https://www.activenetwork.com/careers,-1.0
