domain,pg_rank
google.com,10
instagram.com,10
microsoft.com,8.52
ibm.com,8.11
apple.com,8.01
mozilla.org,8
adobe.com,7.88
zoom.us,7.52
salesforce.com,7.49
tripadvisor.com,7.46
slack.com,7.31
overcast.fm,7.3
automattic.com,7.29
oracle.com,7.28
newsblur.com,7.27
hubspot.com,7.25
pluralsight.com,7.22
netflix.com,7.14
whatsapp.com,7.08
sap.com,6.87
intel.com,6.83
dell.com,6.81
jotform.com,6.77
oculus.com,6.76
vmware.com,6.75
mcafee.com,6.74
hp.com,6.71
zendesk.com,6.71
tableau.com,6.64
autodesk.com,6.6
cvent.com,6.59
checkpoint.com,6.59
webex.com,6.58
sendgrid.com,6.55
dynatrace.com,6.54
newrelic.com,6.54
redhat.com,6.52
wrike.com,6.52
cloudinary.com,6.51
siemens.com,6.51
docusign.com,6.51
sas.com,6.5
sony.com,6.49
ge.com,6.48
akamai.com,6.47
jwplayer.com,6.47
splunk.com,6.47
ripple.com,6.46
pipedrive.com,6.45
nuance.com,6.45
zend.com,6.45
venmo.com,6.45
telerik.com,6.43
qualtrics.com,6.41
malwarebytes.com,6.4
seagate.com,6.4
pantheon.io,6.38
citrix.com,6.38
smartsheet.com,6.38
clover.com,6.35
punchbowl.com,6.35
mathworks.com,6.35
g2.com,6.35
emc.com,6.35
panic.com,6.33
brightcove.com,6.33
liveperson.com,6.33
calm.com,6.32
magento.com,6.32
wolfram.com,6.31
mindbodyonline.com,6.28
brainshark.com,6.25
juniper.net,6.24
medallia.com,6.22
overdrive.com,6.21
docker.com,6.21
synopsys.com,6.2
3ds.com,6.2
rememberthemilk.com,6.2
thoughtworks.com,6.19
expensify.com,6.19
efilecabinet.com,6.19
intuit.com,6.18
bentley.com,6.18
instructure.com,6.17
microfocus.com,6.15
fastly.com,6.15
tibco.com,6.14
fortinet.com,6.14
rsa.com,6.14
marketo.com,6.14
gigya.com,6.14
looker.com,6.14
doximity.com,6.13
blockstream.com,6.12
zoominfo.com,6.11
realnetworks.com,6.11
snagajob.com,6.1
retailmenot.com,6.1
rosettastone.com,6.09
progress.com,6.09
inkling.com,6.08
webroot.com,6.08
marklogic.com,6.07
zello.com,6.07
omnigroup.com,6.07
cloudera.com,6.06
jobvite.com,6.06
mongodb.com,6.06
presonus.com,6.06
imperva.com,6.06
data-telinc.net,3.58
piazza.com,6.06
sugarcrm.com,6.06
isc.org,6.05
opentext.com,6.04
okta.com,6.04
opentext.com,6.04
pivotal.io,6.04
fico.com,6.04
sugarsync.com,6.04
domo.com,6.03
ontraport.com,6.02
pagerduty.com,6.02
datadoghq.com,6.02
codeweavers.com,6.02
ncr.com,6.02
vuze.com,6.01
glitch.com,6.01
zuora.com,6.01
leadtools.com,6.01
dellemc.com,6.01
palantir.com,6
kaltura.com,6
genesys.com,6
pingidentity.com,5.99
fisglobal.com,5.99
solarwinds.com,5.98
zscaler.com,5.98
seeclickfix.com,5.98
veeam.com,5.97
workday.com,5.96
newtek.com,5.95
onelogin.com,5.95
mulesoft.com,5.94
microstrategy.com,5.94
liquidplanner.com,5.94
informatica.com,5.92
rhythmone.com,5.92
cerner.com,5.92
caspio.com,5.92
riskiq.com,5.92
harman.com,5.91
insight.com,5.91
sawtoothsoftware.com,5.9
bmc.com,5.9
coronalabs.com,5.9
greenhouse.io,5.9
icims.com,5.89
ceridian.com,5.89
sungard.com,5.89
carbonblack.com,5.89
qualys.com,5.89
perforce.com,5.88
izotope.com,5.88
roguewave.com,5.42
infor.com,5.87
recordedfuture.com,5.87
veracode.com,5.87
ipswitch.com,5.87
coda.io,5.87
tripwire.com,5.87
smartbear.com,5.86
saucelabs.com,5.86
uaudio.com,5.86
databricks.com,5.85
hortonworks.com,5.85
grabcad.com,5.85
cadence.com,5.85
kofax.com,5.85
nortonlifelock.com,5.85
brandfolder.com,5.85
daz3d.com,5.85
nationbuilder.com,5.84
logmeininc.com,5.84
epam.com,5.84
sumologic.com,5.84
caliper.com,5.84
netscout.com,5.84
borisfx.com,5.83
pkware.com,5.83
shopkick.com,5.83
eonreality.com,5.82
wanderu.com,5.82
itasoftware.com,5.82
tylertech.com,5.82
telenav.com,5.82
ecoatm.com,5.27
forcepoint.com,5.82
hubstaff.com,5.82
jivesoftware.com,5.82
parc.com,5.82
workfront.com,5.81
procore.com,5.81
intego.com,5.81
mapr.com,5.81
universal-robots.com,5.81
sonicsolutionsusa.com,3.51
roxio.com,5.8
sonycreativesoftware.com,5.8
marketingcloud.com,5.8
windriver.com,5.8
ngpvan.com,5.79
pega.com,5.79
uipath.com,5.79
namely.com,5.79
bluemarblegeo.com,5.79
motus.com,5.79
tubemogul.com,5.78
epic.com,5.78
bullhorn.com,5.78
verint.com,5.77
pandadoc.com,5.77
plangrid.com,5.77
techchange.org,5.77
gotobus.com,5.76
