Rank,name,industry,type,founded,num_employees,Revenue(in millions),Profit(in millions),students_careers_url,website,hq_location
1,"Google, LLC","Software,Distributed Systems,Social media,Networking,Artificial Intelligence,Electronics",Public,2008,"114,000","66,000.0","16,500.0",https://careers.google.com/students/,google.com,Googleplex 1600 Amphitheatre Parkway
2,Instagram,Other,Public,2010,450,"18,200.0","14,000.0",https://www.instagram.com/about/jobs/,instagram.com,"Menlo Park, CA"
3,Microsoft Corporation,"Software,Consulting,Distributed Systems,Networking,Multimedia,Electronics",Public,1975,"156,400","143,000.0","53,000.0",https://careers.microsoft.com/us/en/,microsoft.com,"Microsoft Redmond campus One Microsoft Way Redmond, WA"
4,International Business Machines Corporation,"Software,Distributed Systems,Artificial Intelligence,Electronics",Public,1911,"352,600","77,100.0","13,200.0",https://www.ibm.com/us-en/employment/entrylevel/,ibm.com,"Armonk, NY"
5,Apple Inc.,"Software,Consulting,Distributed Systems,Artificial Intelligence,Electronics",Public,1976,"137,000","275,000.0","66,300.0",https://www.apple.com/jobs/us/students.html,apple.com,Apple Park 1 Apple Park Way Cupertino California
6,Mozilla Corporation,Software,Private,2005,"1,000","451,000.0",1.9,https://careers.mozilla.org/,mozilla.org,"Mountain View, California"
7,Adobe Inc.,Software,Public,1982,"22,630","11,200.0","3,270.0",https://www.adobe.com/careers.html,adobe.com,Adobe World Headquarters
8,"Zoom Video Communications, Inc.",Other,Public,2011,"2,530","62,200.0",54.6,https://zoom.us/about,zoom.us,"San Jose , CA"
9,"salesforce.com, inc.","Software,Distributed Systems",Public,1999,"49,000","17,100.0",297.0,https://www.salesforce.com/company/careers/university-recruiting/,salesforce.com,"San Francisco, CA"
10,Tripadvisor Inc.,Travel,Private,2000,"4,100","15,600.0",126.0,https://careers.tripadvisor.com/,tripadvisor.com,"Needham, MA"
11,"Slack Technologies, Inc.","Networking,Multimedia",Public,2009,"1,660","40,100.0",600.0,https://slack.com/careers,slack.com,"San Francisco, CA"
12,Overcast Media Inc.,Other,Private,2005,70,"1,000.0",0.2,https://overcast.fm/,overcast.fm,"Dublin, Ireland"
13,Automattic Inc.,Networking,Private,2005,"1,270",299.0,155.0,https://automattic.com/work-with-us/,automattic.com,"San Francisco, CA"
14,Oracle Corporation,"Software,Distributed Systems,Electronics",Public,1977,"135,000","39,100.0","13,900.0",https://www.oracle.com/corporate/careers/,oracle.com,"Redwood City, CA"
15,NewsBlur,Software,Private,2009,50,0.2,-,https://newsblur.com/,newsblur.com,"New York City and San Francisco, United States"
16,"HubSpot, Inc.",Software,Public,2006,"3,390",675.0,57.9,https://www.hubspot.com/careers/students,hubspot.com,"Cambridge, MA"
17,Pluralsight,Software,Public,2004,"1,700",316.0,9.6,https://www.pluralsight.com/careers,pluralsight.com,"Draper, UT"
18,"Netflix, Inc.","Software,Multimedia",Public,1997,"8,600","20,200.0","2,600.0",https://jobs.netflix.com/,netflix.com,"Los Gatos, CA"
