name,type,industry,revenue,hq_location,num_employees,founded,website,student_careers_url,index_name,stock_symbol,stock price
"[24]7.ai, Inc.",Private,Software and Services,-1,"San Jose, California",15000,-1,https://www.247.ai,https://www.247.ai/company/careers,(24)7.ai,NA,-1.0
280 North,,web software,-1,,-1,2008,,https://angel.co/company/280-north,"280 North, Inc.",NA,-1.0
2d3 Sensing,,software,-1,"Irvine, California",-1,1999,,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/,2d3,NA,-1.0
33Across,,,-1,,-1,2008,[http://33across.com 33across.com],https://www.33across.com/careers/,33Across,NA,-1.0
3D Systems Corporation,Public,Technology,646840000,,2666,-1,3dsystems.com,https://www.3dsystems.com/careers,3D Systems,DDD,6.539999961853027
3ality Technica,Private,Entertainment technology,-1,,-1,-1,,http://3alitytechnica.com/,3ality Technica,NA,-1.0
4D Inc,Private,,-1,,-1,1984,http://www.4d.com,https://us.4d.com/careers,4D Inc,NA,-1.0
4INFO Inc.,Private,"Big data,Big Data,Software,Computer Software,Digital Marketing",-1,"Silicon Valley San Jose, California San Jose",45,2004,4info.com/,https://www.4info.com/About/Careers.aspx,4INFO,NA,-1.0
"A10 Networks, Inc.",Public,Computer network,-1,,800,-1,,https://www.a10networks.com/company/careers/,A10 Networks,ATEN,7.510000228881836
ACI Worldwide Inc.,Public,Computer Software,1050000000,,0,-1,,https://careers.aciworldwide.com/,ACI Worldwide,ACIW,32.7400016784668
ADARA networks,private,Software,-1,"San Jose, CA",-1,1998,http://www.adaranetworks.com/,https://adara.com/careers/,ADARA Networks,NA,-1.0
APC by Schneider Electric,A ,Electrical equipment,-1,,12000,-1,,https://www.apc.com/us/en/who-we-are/careers.jsp,APC by Schneider Electric,NA,-1.0
ARCOS LLC,Private,Software,-1,,0,-1,,https://www.arcos-inc.com/careers/,ARCOS LLC,NA,-1.0
ASG Technologies,Private,,-1,,-1,1986,,https://www.asg.com/en/Aboutus/career.aspx,ASG Technologies,NA,-1.0
AT&T Inc.,Public,"Telecommunications industry,Telecommunications,Technology company,Technology,Mass media,Entertainment",181200000000,Whitacre Tower,243350,1893,about.att.com,https://www.att.jobs/students,AT&T,T,27.510000228881836
AT&T Cybersecurity,Subsidiary,"Computer Security,Computer Software",-1,,400,-1,,https://www.att.jobs/category/cybersecurity-jobs/117/47406/1,AT&T Cybersecurity,NA,-1.0
AWS Elemental,Subsidiary,Video software,49200000,,209,-1,,https://www.amazon.jobs/en/team/elemental,AWS Elemental,NA,-1.0
AbacusNext,Private,Software,77500000,,500,-1,,https://www.abacusnext.com/careers/,Abacus Data Systems,NA,-1.0
Abbott Informatics,Subsidiary,"Software,Information Technology",-1,,-1,-1,,https://www.abbott.com/careers/students.html,Abbott Informatics,NA,-1.0
Accent R,,software,-1,,-1,1980,,https://www.speechpathologygraduateprograms.org/do-you-speak-with-an-accent-you-can-still-be-an-outstanding-slp/,Accent R,NA,-1.0
"Accordent Technologies, Inc",Private,Software,-1,,-1,-1,,https://www.accenture.com/us-en/careers,Accordent Technologies,NA,-1.0
AccuSystems,,"Document imaging,Electronic document management,Document management system",-1,,-1,-1,,https://www.accusystem.com/careers/,AccuSystems,NA,-1.0
AccuWeather Inc.,Private,Meteorology,-1,,500,-1,,https://boards.greenhouse.io/accuweather,AccuWeather,NA,-1.0
Accusoft Corporation,Private,Computer software,-1,,-1,-1,,https://www.accusoft.com/resources/blog/annual-internship-programs-provide-benefits-to-students-and-employees/,Accusoft,NA,-1.0
Acorns,Private,Financial services,-1,,-1,-1,,https://www.acorns.com/careers/,Acorns (company),NA,-1.0
Acrocat Software,Private,,-1,,-1,-1,,https://www.adobe.com/careers.html,Acrocat Software,NA,-1.0
Actian,Private,"Database management system,Software,Big data analytics",-1,,-1,-1,,https://www.actian.com/company/careers/student-opportunities/,Actian,NA,-1.0
Actifio,Private,Information Technology,-1,,-1,-1,,https://www.actifio.com/company/careers/,Actifio,NA,-1.0
Activant Solutions Inc.,Subsidiary of ,Retail and Wholesale Distribution,-1,,1700,-1,,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/,Activant,NA,-1.0
"Active Network, LLC",Subsidiary,Software as a service,-1,"Dallas, TX",1000,-1,,https://www.activenetwork.com/careers,"Active Network, LLC",NA,-1.0
Actuate Corporation,Subsidiary,"Computer Software,Business Intelligence,Enterprise Reporting,Business Analytics",134600000,,570,-1,,https://www.indeed.com/cmp/Actuate-Corporation,Actuate Corporation,NA,-1.0
Acumatica,Privately held company,Computer software,-1,,300,2008,www.acumatica.com,https://www.acumatica.com/careers/,Acumatica,NA,-1.0
Acxiom,Division,Database marketing,-1,,2100,-1,,https://www.acxiom.com/about-us/careers/,Acxiom,NA,-1.0
AdMob,Subsidiary of ,Mobile advertising,-1,,-1,2006,,,AdMob,NA,-1.0
