name,type,industry,revenue,operating_income,net_income,hq_location,num_employees,founded,website,student_careers_url,index_name
"[24]7.ai, Inc.",Private,Software and Services,-1.0,-1.0,-1.0,"San Jose, California",15000,-1,https://www.247.ai/,https://www.247.ai/company/careers,(24)7.ai
280 North,,web software,-1.0,-1.0,-1.0,,-1,2008,,https://angel.co/company/280-north,"280 North, Inc."
2d3 Sensing,,software,-1.0,-1.0,-1.0,"Irvine, California",-1,1999,,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/,2d3
33Across,,,-1.0,-1.0,-1.0,,-1,2008,https://www.33across.com/,https://www.33across.com/careers/,33Across
3D Systems Corporation,Public,Technology,646840000.0,65319999.0,66190000.0,,2666,-1,https://www.3dsystems.com/,https://www.3dsystems.com/careers,3D Systems
3ality Technica,Private,Entertainment technology,-1.0,-1.0,-1.0,,-1,-1,http://3alitytechnica.com/,http://3alitytechnica.com/,3ality Technica
4D Inc,Private,,-1.0,-1.0,-1.0,,-1,1984,https://us.4d.com,https://us.4d.com/careers,4D Inc
4INFO Inc.,Private,"Big data,Big Data,Software,Computer Software,Digital Marketing",-1.0,-1.0,-1.0,"Silicon Valley San Jose, California San Jose",45,2004,https://www.4info.com/,https://www.4info.com/About/Careers.aspx,4INFO
"A10 Networks, Inc.",Public,Computer network,-1.0,-1.0,-1.0,,800,-1,https://www.a10networks.com/,https://www.a10networks.com/company/careers/,A10 Networks
ACI Worldwide Inc.,Public,Computer Software,1050000000.0,165800000.0,87500000.0,,0,-1,https://www.aciworldwide.com/,https://careers.aciworldwide.com/,ACI Worldwide
ADARA networks,private,Software,-1.0,-1.0,-1.0,"San Jose, CA",-1,1998,https://adaranetworks.com/,https://adara.com/careers/,ADARA Networks
ARCOS LLC,Private,Software,-1.0,-1.0,-1.0,,0,-1,https://www.arcos-inc.com/,https://www.arcos-inc.com/careers/,ARCOS LLC
ASG Technologies,Private,,-1.0,-1.0,-1.0,,-1,1986,https://www.asg.com/,https://www.asg.com/en/Aboutus/career.aspx,ASG Technologies
AT&T Inc.,Public,"Telecommunications industry,Telecommunications,Technology company,Technology,Mass media,Entertainment",181200000000.0,27950000000.0,13900000000.0,Whitacre Tower,243350,1893,https://www.att.com/,https://www.att.jobs/students,AT&T
AbacusNext,Private,Software,77500000.0,-1.0,-1.0,,500,-1,https://www.abacusnext.com/,https://www.abacusnext.com/careers/,Abacus Data Systems
Accent R,,software,-1.0,-1.0,-1.0,,-1,1980,,https://www.speechpathologygraduateprograms.org/do-you-speak-with-an-accent-you-can-still-be-an-outstanding-slp/,Accent R
"Accordent Technologies, Inc",Private,Software,-1.0,-1.0,-1.0,,-1,-1,,https://www.accenture.com/us-en/careers,Accordent Technologies
AccuSystems,,"Document imaging,Electronic document management,Document management system",-1.0,-1.0,-1.0,,-1,-1,https://www.accusystem.com/,https://www.accusystem.com/careers/,AccuSystems
AccuWeather Inc.,Private,Meteorology,-1.0,-1.0,-1.0,,500,-1,,https://boards.greenhouse.io/accuweather,AccuWeather
Accusoft Corporation,Private,Computer software,-1.0,-1.0,-1.0,,-1,-1,https://www.accusoft.com/,https://www.accusoft.com/resources/blog/annual-internship-programs-provide-benefits-to-students-and-employees/,Accusoft
Acorns,Private,Financial services,-1.0,-1.0,-1.0,,-1,-1,,https://www.acorns.com/careers/,Acorns (company)
Acrocat Software,Private,,-1.0,-1.0,-1.0,,-1,-1,,https://www.adobe.com/careers.html,Acrocat Software
Actian,Private,"Database management system,Software,Big data analytics",-1.0,-1.0,-1.0,,-1,-1,,https://www.actian.com/company/careers/student-opportunities/,Actian
Actifio,Private,Information Technology,-1.0,-1.0,-1.0,,-1,-1,https://www.actifio.com/,https://www.actifio.com/company/careers/,Actifio
Activant Solutions Inc.,Subsidiary of ,Retail and Wholesale Distribution,-1.0,-1.0,-1.0,,1700,-1,https://www.epicor.com/en-us/,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/,Activant
Actuate Corporation,Subsidiary,"Computer Software,Business Intelligence,Enterprise Reporting,Business Analytics",134600000.0,23400000.0,16700000.0,,570,-1,https://www.opentext.com/,https://www.indeed.com/cmp/Actuate-Corporation,Actuate Corporation
Acumatica,Privately held company,Computer software,-1.0,-1.0,-1.0,,300,2008,https://www.acumatica.com/,https://www.acumatica.com/careers/,Acumatica
Addamax,,software,-1.0,-1.0,-1.0,"Champaign, Illinois",-1,1986,,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/,Addamax
"Addepar, Inc.",Private,Financial technology,-1.0,-1.0,-1.0,,200,-1,https://addepar.com/,https://www.addepar.com/careers,Addepar
Adeptia,Private,Computer software,-1.0,-1.0,-1.0,,-1,-1,https://adeptia.com/,https://adeptia.com/careers,Adeptia
Aditi Technologies,Private,"IT Services,IT Consulting",-1.0,-1.0,-1.0,,1600,1994,http://aditi.com/,https://www.aditiconsulting.com/job-seekers/,Aditi Technologies
Adobe Inc.,Public,Software,11170000000.0,3270000000.0,2950000000.0,Adobe World Headquarters,22635,1982,https://www.adobe.com/,https://www.adobe.com/careers.html,Adobe Inc.
Advanced Digital Information Corporation,Subsidiary of ,"Magnetic tape data storage,Software",-1.0,-1.0,-1.0,,1109,-1,https://www.quantum.com/,https://www.vault.com/company-profiles/computer-hardware/advanced-digital-information-corporation,Advanced Digital Information Corporation
"Advent Online Knowledge, Inc.",,software,-1.0,-1.0,-1.0,"Schaumburg, Illinois",-1,-1,,https://www.adventhealth.com/careers,"Advent Online Knowledge, Inc."
Aelita Software Corporation,,Software,-1.0,-1.0,-1.0,Aliso Viejo California,-1,1998,https://www.quest.com/,https://www.mckinsey.com/careers/students,Aelita Software Corporation
Aestiva Software,,computer technology,-1.0,-1.0,-1.0,"Torrance, California",-1,1996,,http://www.aestiva.com/,Aestiva Software
Afiniti,Private,Software development,-1.0,-1.0,-1.0,Hamilton,1000,2005,https://afiniti.com/,https://careers.afiniti.com/,Afiniti
"Agiloft, Inc.",Private,Business process management,-1.0,-1.0,-1.0,,-1,1990,,https://www.agiloft.com/jobs.htm,Agiloft
Agilysys Inc.,,Hospitality Software,-1.0,-1.0,-1.0,,-1,-1,https://www.agilysys.com/en,https://www.agilysys.com/en/company/careers,Agilysys
Aha!,Private,Software,-1.0,-1.0,-1.0,,-1,-1,https://www.aha.io/,https://www.historians.org/jobs-and-professional-development/career-resources/careers-for-students-of-history,Aha! (company)
AiLive Inc.,Private,Computer Software,-1.0,-1.0,-1.0,,-1,-1,,https://www.silive.com/jobs/,AiLive
Airbiquity,Privately held company,Automotive telematics: connected vehicle services,-1.0,-1.0,-1.0,"Seattle, WA",-1,1997,https://www.airbiquity.com/,https://www.airbiquity.com/company/working-here,Airbiquity
Airclic,Private,Web-based software,-1.0,-1.0,-1.0,,-1,-1,https://www.descartes.com/about/investor-relations/acquisitions/airclic,https://www.lockheedmartinjobs.com/college-students,Airclic
Urban Airship,Private Corporation,,-1.0,-1.0,-1.0,,-1,-1,https://www.airship.com/,https://www.airship.com/company/careers/,Airship (company)
"Formagrid, Inc.",,Internet,-1.0,-1.0,-1.0,,-1,-1,,https://airtable.com/careers,Airtable
AlchemyAPI,Subsidiary,"natural language processing,computer vision,big data",-1.0,-1.0,-1.0,,-1,-1,,https://www.mckinsey.com/careers/students,AlchemyAPI
Alfresco Software Inc.,,,-1.0,-1.0,-1.0,,-1,-1,https://www.alfresco.com/,https://www.alfresco.com/company/careers,Alfresco Software
Alien Technology,Private,Electronics manufacturing,-1.0,-1.0,-1.0,,235,-1,,https://www.alientechnology.com/company/careers-2/,Alien Technology
"Alinean, Inc.",privately-held,Sales & Marketing Software,-1.0,-1.0,-1.0,,-1,2001,,https://www.mckinsey.com/careers/students,Alinean
"Allegiance Software, Inc",Private,,-1.0,-1.0,-1.0,,-1,-1,,"https://www.glassdoor.com/Overview/Working-at-Allegiance-Career-Institute-EI_IE3050701.11,38.htm",Allegiance (company)
Allegro Development Corp.,Private,Computer software,-1.0,-1.0,-1.0,,400,-1,,https://www.allegrodev.com/campus-recruiting/,Allegro Development Corporation
"AllscriptsHealthcare Solutions, Inc.",Public,Information Technology,1811000000.0,59800000.0,25700000.0,,7500,-1,,https://www.allscripts.com/about-us/careers/,Allscripts
"Altair Engineering, Inc.",Public,"Computer-aided engineering,Software,Product Design,Product Design and Development,Service,Services,Data Analytics,Internet of things,Grid Computing",458900000.0,-1.0,-1.0,,3300,-1,https://www.altair.com/,https://www.altair.com/careers/,Altair Engineering
Altametrics,Private,Enterprise Software,90000000.0,-1.0,-1.0,,400,-1,https://altametrics.com/,https://www.internships.com/posting/bug_38787457443,Altametrics
"Alteryx, Inc.",Public,"Software,Computer software",418000000.0,38000000.0,27100000.0,,0,-1,https://www.alteryx.com/,https://www.alteryx.com/careers,Alteryx
Altium Ltd.,Public,"Electronic design automation,Printed circuit board,FPGA,Embedded Systems,Electronics Design",171800000.0,-1.0,-1.0,,-1,-1,https://www.altium.com/,https://www.altium.com/careers,Altium
"Altoros Systems, Inc.",Privately held companies,"Software Product Line,Software Product Development,Big Data,Information technology consulting,IT Consulting",-1.0,-1.0,-1.0,,250,-1,https://www.altoros.com/,https://www.altoros.com/careers,Altoros
"Amazon.com, Inc.",Public,"Cloud computing,e-commerce,artificial intelligence,consumer electronics,digital distribution,self-driving cars",280522000000.0,14541000000.0,11588000000.0,,0,1994,https://www.aboutamazon.com/,https://www.amazon.jobs/en/business_categories/student-programs,Amazon (company)
"Amber Road, Inc.",Corporation,Enterprise software,85200000.0,-1.0,-1.0,,-1,-1,https://www.e2open.com/,https://www.e2open.com/careers/,"Amber Road, Inc."
amdocs,,,4099999999.0,-1.0,479000000.0,,25000,-1,https://www.amdocs.com/,https://www.amdocs.com/careers/home,Amdocs
Amenity Analytics,Private,Software,-1.0,-1.0,-1.0,,-1,-1,https://www.amenityanalytics.com/,https://jobs.lever.co/amenityanalytics/42f96a2c-0c3c-491d-abdc-b32a520e7a0c/apply,Amenity Analytics
American Megatrends,Private,"Computer hardware,Computer software,Remote Database Access,Remote access,Motherboards,Firmware,Computer storage,Storage systems",-1.0,-1.0,-1.0,,1000,1985,https://ami.com/en/,https://ami.com/en/company/careers-at-ami/,American Megatrends
Amwell,Public,Healthcare,-1.0,-1.0,-1.0,,700,-1,https://business.amwell.com/,https://business.amwell.com/careers/,American Well
"Anaplan, Inc.",Public,"Enterprise Performance Management,Software Company",-1.0,-1.0,-1.0,,1601,-1,,https://www.anaplan.com/university-connect/,Anaplan
Ancestry.com LLC,Private,"Genealogy,Genetic genealogy,Online publishing,Software publishing",683100000.0,-1.0,-1.0,,-1,-1,https://www.ancestry.com/,https://careers.ancestry.com/us/en,Ancestry.com
Andrew Corporation,Communications Hardware Supplier,Telecommunications,-1.0,-1.0,-1.0,,-1,-1,,https://www.indeed.com/cmp/Andrew-Corporation,Andrew Corporation
Animoto,Private,Photo Slideshow Software,-1.0,-1.0,-1.0,,100,-1,https://animoto.com/,https://animoto.com/careers,Animoto
Animusic,Private,,-1.0,-1.0,-1.0,,-1,-1,https://www.animusic.com/,https://joinhandshake.com/,Animusic
Answer Underground,Private,"Mobile computing,Mobile,Social networking,Social,online tutoring",-1.0,-1.0,-1.0,,-1,-1,,https://www.flexjobs.com/jobs/telecommuting-jobs-at-answer_underground,Answer Underground
"Ansys, Inc.",Public,Computer software,1516000000.0,515039999.0,451300000.0,,4100,-1,,https://www.ansys.com/about-ansys/careers,Ansys
Antenna Software,,Software Development,-1.0,-1.0,-1.0,,-1,1998,,"https://www.glassdoor.com/Job/intern-antenna-engineering-jobs-SRCH_KO0,26.htm",Antenna Software
AnyDoc Software,,Software Technology,-1.0,-1.0,-1.0,"Tampa, Florida",-1,1989,,https://www.hyland.com/en/careers,AnyDoc Software
Anystream,Private,Software,-1.0,-1.0,-1.0,,-1,-1,,https://www.mckinsey.com/careers/students,Anystream
Apex Learning,Private,Educational Software,-1.0,-1.0,-1.0,,-1,-1,https://www.apexlearning.com/,http://www.apexlearning.com/about-us,Apex Learning
"AppExtremes, Inc. dba Conga",Private,Software,-1.0,-1.0,-1.0,,-1,-1,,https://www.mckinsey.com/careers/students,AppExtremes
"AppFolio, Inc.",Public,Software,143900000.0,-1.0,-1.0,,1100,-1,https://www.appfolioinc.com/,https://www.appfolioinc.com/careers,AppFolio
AppNeta,Private,Cloud Based Network Performance Management and Web Application Performance Service,-1.0,-1.0,-1.0,,-1,-1,https://www.appneta.com/,https://www.appneta.com/about/careers/,AppNeta
AppSense,,,-1.0,-1.0,-1.0,Sunnyvale California Daresbury England,-1,1999,,https://www.ivanti.com/company/careers,AppSense
AppSheet,Subsidiary,"Platform as a service,Digital transformation,Enterprise Software",-1.0,-1.0,-1.0,,35,2014,https://www.appsheet.com/,https://solutions.appsheet.com/careers,AppSheet
Titanium SDK,,,-1.0,-1.0,-1.0,,-1,-1,https://www.axway.com/en,https://www.appcelerator.com/company/jobs/,Appcelerator
"Apperian, Inc.",Private,Mobile application management,-1.0,-1.0,-1.0,,50,-1,https://digital.ai/app-management,https://careers.northeastern.edu/article/computer-information-science/,Apperian
"Applause, Inc.",Private,"Software testing,Software Testing,Crowdsourcing,Software Quality Assurance",-1.0,-1.0,-1.0,,301,-1,https://www.applause.com/,https://www.applause.com/jobs,Applause (software company)
Apple Inc.,Public,"Computer hardware,Computer software,Consumer electronics,Cloud computing,Digital distribution,Fabless manufacturing,Fabless silicon design,Semiconductors,Electronic media,Media,Financial technology,Artificial intelligence",274515000000.0,66288000000.0,57411000000.0,Apple Park 1 Apple Park Way Cupertino California,137000,1976,https://www.apple.com/,https://www.apple.com/jobs/us/students.html,Apple Inc.
Application Networks,,Software Development,-1.0,-1.0,-1.0,,-1,-1,,https://www.collegecentral.com/,Application Networks
Applico,Privately Owned,Management Consulting,-1.0,-1.0,-1.0,,75,2009,,https://angel.co/company/applico-1/jobs/967150-digital-content-marketer,Applico
"Applied Minds, LLC",Private,"Electronics,Software,Consultant,Consulting,Biotechnology,Architectural Design",-1.0,-1.0,-1.0,,-1,-1,https://appliedminds.com/,https://appliedminds.com/,Applied Minds
Applied Predictive Technologies,,Software as a service,-1.0,-1.0,-1.0,,600,-1,,https://www.indeed.com/cmp/Applied-Predictive-Technologies,Applied Predictive Technologies
"Applied Science International, LLC.",Private,Computer software,-1.0,-1.0,-1.0,,100,-1,https://www.appliedscienceint.com/,https://www.internationalstudent.com/study-applied-sciences/,Applied Science International
"Apptio, Inc.",Private,"Software,Computer software,IT service management,IT services",160000000.0,-1.0,-1.0,,800,-1,https://www.apptio.com/,https://www.apptio.com/company/careers/,Apptio
Aptean Corporation,Private,Computer software,-1.0,-1.0,-1.0,,-1,-1,https://aptean.com/,https://www.aptean.com/our-company/careers/,Aptean
Apteligent,Technology,Mobile application development,-1.0,-1.0,-1.0,,-1,-1,,https://www.mckinsey.com/careers/students,Apteligent
Apttus,Privately held company,Enterprise software,-1.0,-1.0,-1.0,"San Mateo, California United States",-1,2006,,https://apttus.com/company/careers/,Apttus
"Aquaveo, LLC",Private,"Hydrogeology,software",-1.0,-1.0,-1.0,,-1,-1,https://aquaveo.com/,https://www.aquaveo.com/careers,Aquaveo
Aras Corporation,Private,Enterprise software,-1.0,-1.0,-1.0,,550,-1,https://www.aras.com/en,https://www.aras.com/en/company/careers,Aras Corp
Arc Technology Group,Private,"Web content management system,Content Management,IT service management,IT services,Information technology consulting,IT consulting",1600000.0,-1.0,-1.0,,5,-1,https://arctg.com/,https://arc.losrios.edu/cte,Arc Technology Group
Micro Focus ArcSight,,"Computer software,Enterprise software",-1.0,-1.0,-1.0,,-1,2000,https://www.microfocus.com/en-us/home,https://jobs.microfocus.com/global/en,ArcSight
ArcSoft,Private,Multimedia Software,-1.0,-1.0,-1.0,,800,-1,http://arcsoft.com/,http://www.arcsoft.com/corporate/career.html,ArcSoft
Archer-Daniels-Midland Company,Public,"Food processing,Commodities",64656000000.0,1372000000.0,1279000000.0,,38100,-1,https://www.adm.com/,https://www.archcareerpartners.com/,Archer (company)
"Archipelago Learning, Inc.",Public,Educational software,-1.0,-1.0,-1.0,,-1,-1,https://www.studyisland.com/,https://en.wikipedia.org/wiki/Archipelago_Learning,Archipelago Learning
Architel Holdings LLC,,professional services,-1.0,-1.0,-1.0,"Dallas, Texas",-1,-1,,https://www.mckinsey.com/careers/students,Architel
"Ardence, a Citrix Company",Private,Computer software,-1.0,-1.0,-1.0,,104,-1,https://www.intervalzero.com/german/,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/,Ardence
Aricent/Altran Americas,Defunct Company (acquired by Altran),"Research and Development,R&D Services",-1.0,-1.0,-1.0,,10000,-1,https://northamerica.altran.com/,https://northamerica.altran.com/careers/overview,Aricent
Arkeia Software,Private,Computer software,-1.0,-1.0,-1.0,,50,-1,https://support-en.wd.com/app/ask,https://www.linkedin.com/company/arkeia-software,Arkeia Software
ArrayFire,Private,High Performance Computing,-1.0,-1.0,-1.0,,-1,-1,https://arrayfire.com/,http://arrayfire.applytojob.com/,ArrayFire
"Arrayent, Inc. (now Prodea)",Privately Held,Computer networking,-1.0,-1.0,-1.0,,-1,2005,,https://www.mckinsey.com/careers/students,Arrayent
"Asana, Inc.",Public,"Project management,task management,productivity software,Collaborative software,team collaboration",-1.0,-1.0,-1.0,,900,-1,https://asana.com/,https://asana.com/jobs/university-recruiting,Asana (software)
"Ascent Solar Technologies,",Public,"Photovoltaics,Solar energy",7000000.0,-1.0,6000000.0,,150,2005,,https://www.ascentsolar.com/careers.html,Ascent Solar
Aspect Inc.,Private,"Call center,technology,Customer experience",443000000.0,-1.0,-1.0,,2088,1973,,https://www.aspect.com/company/careers,Aspect Software
"Aspen Technology, Inc.",Public company,"Software,Process Manufacturing",-1.0,-1.0,-1.0,,-1,-1,https://www.aspentech.com/,https://www.aspentech.com/en/careers,Aspen Technology
Astrotech Corporation,,"Science,Technology",-1.0,-1.0,-1.0,,71,-1,,https://www.astrotech.com/careers,Astrotech Corporation
