Rank,name,website,students_careers_url,industry,type,founded,num_employees,Revenue(in millions),Profit(in millions),hq_location
1,"Google, LLC",google.com,https://careers.google.com/students/,"Software,Distributed Systems,Social media,Networking,Artificial Intelligence,Electronics",Public,2008,114000,"46,200.00","12,600.00",Googleplex 1600 Amphitheatre Parkway
2,Instagram,instagram.com,https://www.instagram.com/about/jobs/,Other,Public,2010,450,"18,200.00","14,000.00","Menlo Park, CA"
3,Microsoft Corporation,microsoft.com,https://careers.microsoft.com/us/en/,"Software,Consulting,Distributed Systems,Networking,Multimedia,Electronics",Public,1975,"156,400",143,"53,000.00","Microsoft Redmond campus One Microsoft Way Redmond, WA"
4,International Business Machines Corporation,ibm.com,https://www.ibm.com/us-en/employment/entrylevel/,"Software,Distributed Systems,Artificial Intelligence,Electronics",Public,1911,352600,"77,100.00","13,200.00","Armonk, NY"
5,Apple Inc.,apple.com,https://www.apple.com/jobs/us/students.html,"Software,Consulting,Distributed Systems,Artificial Intelligence,Electronics",Public,1976,137000,275,"66,300.00",Apple Park 1 Apple Park Way Cupertino California
6,Mozilla Corporation,mozilla.org,https://careers.mozilla.org/,Software,Private,2005,1000,451,1.94,"Mountain View, California"
7,Adobe Inc.,adobe.com,https://www.adobe.com/careers.html,Software,Public,1982,22630,"11,200.00","3,270.00",Adobe World Headquarters
8,"Zoom Video Communications, Inc.",zoom.us,https://zoom.us/about,Other,Public,2011,2530,622,54.6,"San Jose , CA"
9,"salesforce.com, inc.",salesforce.com,https://www.salesforce.com/company/careers/university-recruiting/,"Software,Distributed Systems",Public,1999,49000,"17,100.00",297,"San Francisco, CA"
10,Tripadvisor Inc.,tripadvisor.com,https://careers.tripadvisor.com/,Travel,Private,2000,4100,"1,560.00",126,"Needham, MA"
11,"Slack Technologies, Inc.",slack.com,https://slack.com/careers,"Networking,Multimedia",Public,2009,1660,401,600,"San Francisco, CA"
12,Overcast Media Inc.,overcast.fm,https://overcast.fm/,Other,Private,2005,70,1,0.16,"Dublin, Ireland"
13,Automattic Inc.,automattic.com,https://automattic.com/work-with-us/,Networking,Private,2005,1270,299,155,"San Francisco, CA"
14,Oracle Corporation,oracle.com,https://www.oracle.com/corporate/careers/,"Software,Distributed Systems,Electronics",Public,1977,135000,"39,100.00","13,900.00","Redwood City, CA"
15,NewsBlur,newsblur.com,https://newsblur.com/,Software,Private,2009,50,0.2,-,"New York City and San Francisco, United States"
16,"HubSpot, Inc.",hubspot.com,https://www.hubspot.com/careers/students,Software,Public,2006,3390,675,"40,100.00","Cambridge, MA"
17,Pluralsight,pluralsight.com,https://www.pluralsight.com/careers,Software,Public,2004,1700,316,9.6,"Draper, UT"
18,"Netflix, Inc.",netflix.com,https://jobs.netflix.com/,"Software,Multimedia",Public,1997,8600,"20,200.00",2.6,"Los Gatos, CA"
19,WhatsApp,whatsapp.com,https://www.facebook.com/careers/areas-of-work/whatsapp/,Other,Public,2009,55,5,9.9,"Menlo Park, CA"
20,SuccessFactors Inc.,sap.com,https://www.sap.com/about/careers.html,Software,Private,2001,1450,202,"1,610.00","Walldorf, Germany"
21,Intel Corporation,intel.com,https://jobs.intel.com/,Electronics,Public,1968,110800,719,22,"Santa Clara, CA"
22,"Dell Software, Inc.",dell.com,https://jobs.dell.com/students,Other,Public,1984,"157,000",922,"2,620.00","Round Rock, TX"
23,"JotForm, Inc.",jotform.com,https://www.jotform.com/form-templates/gnhs-work-study,Software,Private,2006,250,54,-,"San Francisco, California"
24,Oculus,oculus.com,https://www.oculus.com/careers/,Other,Public,2012,330,100,1.2,"Menlo Park, CA"
25,VMware Inc.,vmware.com,https://careers.vmware.com/,Software,Public,1998,31000,"8,970.00","2,050.00","Palo Alto, California, United States"
26,McAfee Corp.,mcafee.com,https://careers.mcafee.com/,Software,Public,1987,6770,"2,600.00",128,"San Jose, CA"
27,HP Inc.,hp.com,https://jobs.hp.com/en-us/Students-Graduates,"Software,Electronics",Public,2015,56000,583,"3,800.00","Palo Alto, CA"
28,Zendesk,zendesk.com,https://jobs.zendesk.com/us/en,Other,Public,2007,3570,816,3.5,"San Francisco, CA"
29,"Tableau Software, Inc.",tableau.com,https://www.tableau.com/about/careers,Software,Private,2003,4180,"1,200.00",841,"Seattle, WA"
30,"Autodesk, Inc.",autodesk.com,https://www.autodesk.com/careers,Software,Public,1982,10300,"3,270.00",343,"San Rafael, CA"
31,Cvent,cvent.com,https://www.cvent.com/en/careers,"Software,Artificial Intelligence",Private,1999,3600,396,4.3,"McLean, VA"
32,Check Point Software Technologies Ltd.,checkpoint.com,https://careers.checkpoint.com/index.php?m=careers&a=jobs&country_code=BE,"Software,Consulting,Electronics,Security",Public,1993,5200,2,882,"San Carlos, CA"
33,Cisco Webex,webex.com,https://www.cisco.com/c/en/us/about/careers/working-at-cisco/students-and-new-graduate-programs.html,"Software,Networking,Multimedia",Public,1995,10000,380,"3,200.00","San Jose, CA"
34,SendGrid,sendgrid.com,https://sendgrid.com/careers/interns-new-grads/,Software,Private,2009,500,112,2.8,"Denver, CO"
