Apple,0.2,|Consumer Electronics , Cupertino, California|
Amazon,0.59182537,|Internet , Seattle, WA|
GE,0.2,|Mechanical Or Industrial Engineering , Boston, MA|
Chevron,0.2,|Oil & Energy , San Ramon, CA|
JPMorgan Chase & Co.,0.5997769,|Financial Services , New York, NY|
Walmart,0.2,|Retail , Bentonville, Arkansas|
Ford Motor Company,0.2,|Automotive , Dearborn, Michigan|
ExxonMobil,0.2,Oil & Energy
AT&T,0.2,|Telecommunications , Dallas, TX|
Microsoft,0.7289539,|Computer Software , Redmond, Washington|
Verizon,0.73320264,|Information Technology & Services , Basking Ridge, NJ|
UnitedHealth Group,0.2,Hospital & Health Care
CVS Health,0.2,|Health, Wellness & Fitness , Woonsocket, RI|
Citi,0.5997766,|Financial Services , New York, New York|
Bank of America,0.2,|Banking , Charlotte, NC|
Costco Wholesale,0.2,|Retail , Seattle, WA|
McKesson,0.2,|Hospital & Health Care , Irving, Texas|
Cardinal Health,0.2,|Hospital & Health Care , Dublin, OH|
Wells Fargo,0.5997764,|Financial Services , San Francisco, California|
Boeing,0.2,|Aviation & Aerospace , Chicago, IL|
Kroger,0.2,|Retail , Cincinnati, Ohio|
HP,0.7332035,|Information Technology & Services , Palo Alto, CA|
The Home Depot,0.2,|Retail , Atlanta, Georgia|
Procter & Gamble,0.2,|Consumer Goods , Cincinnati, Ohio|
Foxconn,0.733203,Information Technology & Services
Shell,0.2,|Oil & Energy , The Hague|
DuPont,0.2,|Chemicals , Wilmington, DE|
Pfizer,0.2,|Pharmaceuticals , New York, New York|
PepsiCo,0.2,|Food & Beverages , Purchase, New York|
Facebook,0.59173095,|Internet , Menlo Park, CA|
Johnson & Johnson,0.2,|Hospital & Health Care , New Brunswick, NJ|
bp,0.2,|Oil & Energy , London, England|
Comcast,0.2,|Telecommunications , Philadelphia, PA|
Intel Corporation,0.2,|Semiconductors , Santa Clara, California|
The Walt Disney Company,0.2,|Entertainment , Burbank, CA|
Goldman Sachs,0.5997761,|Financial Services , New York, New York|
