Agilent Technologies, Inc. Common Stock,FindTheBest.com
Alcoa Corporation Common Stock ,ClearHealthCosts
Perth Mint Physical Gold ETF,OptumInsight
ATA Creativity Global - American Depositary Shares, each representing two common shares,PricewaterhouseCoopers
AdvisorShares Dorsey Wright ADR ETF,Oversight
American Airlines Group, Inc. - Common Stock,PricewaterhouseCoopers
Altisource Asset Management Corp Com,PricewaterhouseCoopers
Atlantic American Corporation - Common Stock,PlanetEcosystems
Aaron's, Inc. Common Stock,LoseIt.com
Applied Optoelectronics, Inc. - Common Stock,FindTheBest.com
AAON, Inc. - Common Stock,InfoCommerce
Advance Auto Parts Inc Advance Auto Parts Inc W/I,NonprofitMetrics
Apple Inc. - Common Stock,PlanetEcosystems
American Assets Trust, Inc. Common Stock,eInstitutional
Almaden Minerals, Ltd. Common Shares,ClearHealthCosts
Atlas Air Worldwide Holdings - Common Stock,PlaceILive.com
iShares MSCI All Country Asia ex Japan Index Fund,PricewaterhouseCoopers
Axon Enterprise, Inc. - Common Stock,PlanetEcosystems
AllianceBernstein Holding L.P.  Units,PricewaterhouseCoopers
ABB Ltd Common Stock,PlanetEcosystems
AbbVie Inc. Common Stock,InfoCommerce
AmerisourceBergen Corporation Common Stock,PricewaterhouseCoopers
Ameris Bancorp - Common Stock,InfoCommerce
Abeona Therapeutics Inc. - Common Stock,FindTheBest.com
Absolute Core Strategy ETF,PlanetEcosystems
Ambev S.A. American Depositary Shares (Each representing 1 Common Share),PricewaterhouseCoopers
Asbury Automotive Group Inc Common Stock,SpotHero.com
ARCA biopharma, Inc. - Common Stock,realtor.com
ABM Industries Incorporated Common Stock,PlanetEcosystems
ABIOMED, Inc. - Common Stock,LoseIt.com
Arbor Realty Trust Common Stock,ClearHealthCosts
Abbott Laboratories Common Stock,PlanetEcosystems
Allegiance Bancshares, Inc. - Common Stock,ClearHealthCosts
Arbutus Biopharma Corporation - Common Stock,PricewaterhouseCoopers
Associated Capital Group, Inc. Common Stock,PlaceILive.com
Arcosa, Inc. Common Stock ,LoseIt.com
ACADIA Pharmaceuticals Inc. - Common Stock,PlaceILive.com
Acamar Partners Acquisition Corp. - Class A Common Stock,ClearHealthCosts
Acamar Partners Acquisition Corp. - Units,ClearHealthCosts
Aurora Cannabis Inc. Common Shares,PlaceILive.com
Atlantic Capital Bancshares, Inc. - Common Stock,PlaceILive.com
American Campus Communities Inc Common Stock,PricewaterhouseCoopers
